Programming Language	Dec 2020	Dec 2019	Ratings(%)	Change(%)
C	1	2	16.48	0.4
Java	2	1	12.53	-4.72
Python	3	3	12.21	1.9
C++	4	4	6.91	0.71
C#	5	5	4.2	-0.6
Visual Basic	6	6	3.92	-0.83
JavaScript	7	7	2.35	0.26
PHP	8	8	2.21	0.07
R	9	16	1.6	0.6
SQL	10	9	1.53	-0.31
Groovy	11	22	1.53	0.69
Assembly Language	12	14	1.35	0.28
Swift	13	10	1.22	-0.27
Perl	14	20	1.2	0.3
Ruby	15	11	1.16	-0.15
Go	16	15	1.14	0.15
MATLAB	17	17	1.1	0.12
Delphi/Object Pascal	18	12	0.87	-0.41
Objective-C	19	13	0.81	-0.39
PL/SQL	20	24	0.78	0.04
